,Year,Quarter,Revenue,Cost of revenue,Operating expenses,Net income,Earnings per share,Current assets,Total assets,Current liabilities,Total liabilities,Shareholders' equity,Depreciation & Amortization,Cash generated by operating activities,Cash at beginning of period,Cash at end of period
International Business Machines 2008-2,2008,2,24502.0,14336.0,6968.0,2319.0,1.65,48425.0,121823.0,47048.0,93095.0,28728.0,1030.0,4202.0,14991.0,10786.0
International Business Machines 2008-3,2008,3,26820.0,15221.0,7786.0,2765.0,1.98,46312.0,120928.0,44683.0,92663.0,28264.0,2096.0,8453.0,14991.0,9626.0
International Business Machines 2008-4,2008,4,25302.0,14342.0,7064.0,2824.0,2.05,44187.0,115910.0,44752.0,88391.0,27519.0,3144.0,12191.0,14991.0,9755.0
International Business Machines 2009-2,2009,2,21711.0,12280.0,6309.0,2295.0,1.7,43995.0,101944.0,37425.0,88252.0,13693.0,917.0,4386.0,12741.0,12294.0
International Business Machines 2009-3,2009,3,23250.0,12669.0,6319.0,3103.0,2.32,44435.0,103655.0,36430.0,88182.0,15380.0,1853.0,9127.0,12741.0,11678.0
International Business Machines 2009-4,2009,4,23566.0,12938.0,6255.0,3214.0,2.4,43446.0,103675.0,32960.0,85182.0,18396.0,2806.0,14325.0,12741.0,9532.0
International Business Machines 2010-2,2010,2,22857.0,12880.0,6462.0,2601.0,1.97,45697.0,105208.0,34575.0,83059.0,22033.0,924.0,4437.0,12183.0,12472.0
International Business Machines 2010-3,2010,3,23724.0,12915.0,6234.0,3386.0,2.61,44895.0,103420.0,34993.0,82244.0,21059.0,1823.0,8203.0,12183.0,10325.0
International Business Machines 2010-4,2010,4,24271.0,13270.0,6324.0,3589.0,2.82,44469.0,107174.0,35443.0,84815.0,22238.0,2737.0,12754.0,12183.0,9859.0
International Business Machines 2011-2,2011,2,24607.0,13749.0,7041.0,2863.0,2.31,47524.0,112960.0,40387.0,90185.0,22671.0,918.0,3792.0,10661.0,12763.0
International Business Machines 2011-3,2011,3,26666.0,14282.0,7500.0,3664.0,3.0,46937.0,113474.0,39843.0,90263.0,23127.0,1816.0,8071.0,10661.0,11714.0
International Business Machines 2011-4,2011,4,26157.0,13984.0,7146.0,3839.0,3.19,45373.0,110158.0,36028.0,87781.0,22291.0,2701.0,12750.0,10661.0,11303.0
International Business Machines 2012-2,2012,2,24673.0,13555.0,7283.0,3066.0,2.61,48847.0,115347.0,38209.0,94563.0,20701.0,847.0,4291.0,11922.0,11835.0
International Business Machines 2012-3,2012,3,25783.0,13502.0,7120.0,3881.0,3.34,47392.0,113832.0,38903.0,93269.0,20472.0,1706.0,8726.0,11922.0,10864.0
International Business Machines 2012-4,2012,4,24747.0,13016.0,6657.0,3824.0,3.33,48141.0,115778.0,39499.0,94112.0,21541.0,2572.0,13240.0,11922.0,11909.0
International Business Machines 2013-2,2013,2,23408.0,12730.0,7072.0,3032.0,2.7,48949.0,117258.0,42122.0,98044.0,19092.0,822.0,4023.0,10412.0,10585.0
International Business Machines 2013-3,2013,3,24924.0,12792.0,7988.0,3226.0,2.91,47911.0,115153.0,41037.0,97269.0,17756.0,1632.0,7197.0,10412.0,9558.0
International Business Machines 2013-4,2013,4,23720.0,12341.0,6567.0,4041.0,3.68,47533.0,117845.0,39222.0,97837.0,19877.0,2457.0,10957.0,10412.0,10072.0
International Business Machines 2014-2,2014,2,22484.0,11941.0,7563.0,2384.0,2.29,47959.0,122646.0,41058.0,105906.0,16607.0,802.0,3326.0,10716.0,9409.0
International Business Machines 2014-3,2014,3,24364.0,12389.0,6804.0,4137.0,4.12,48182.0,124314.0,42433.0,106801.0,17377.0,1628.0,6905.0,10716.0,9715.0
International Business Machines 2014-4,2014,4,22397.0,11523.0,6513.0,18.0,997.7,47163.0,118911.0,42306.0,104515.0,14255.0,2428.0,10809.0,10716.0,9561.0
International Business Machines 2015-2,2015,2,19590.0,10138.0,6451.0,2328.0,992.3,46316.0,112037.0,35640.0,99747.0,12141.0,670.0,3610.0,8476.0,8796.0
International Business Machines 2015-3,2015,3,20813.0,10423.0,6165.0,3449.0,986.7,45186.0,112729.0,35535.0,98892.0,13684.0,1335.0,7494.0,8476.0,8393.0
International Business Machines 2015-4,2015,4,19280.0,9844.0,5815.0,2950.0,979.0,42112.0,108649.0,33732.0,95198.0,13294.0,1981.0,11729.0,8476.0,9480.0
International Business Machines 2016-2,2016,2,18684.0,9999.0,7652.0,2014.0,964.4,47623.0,118856.0,34664.0,103784.0,14925.0,677.0,5645.0,7686.0,14354.0
International Business Machines 2016-3,2016,3,20238.0,10536.0,6653.0,2504.0,960.5,43524.0,118056.0,33585.0,102167.0,15733.0,1382.0,9088.0,7686.0,10017.0
International Business Machines 2016-4,2016,4,19226.0,10213.0,5751.0,2853.0,957.3,41433.0,115606.0,34447.0,98447.0,17010.0,2106.0,13301.0,7686.0,9039.0
International Business Machines 2017-2,2017,2,18155.0,10383.0,6348.0,1750.0,947.8,42889.0,117495.0,36481.0,99047.0,18327.0,709.0,3955.0,7826.0,10096.0
International Business Machines 2017-3,2017,3,19289.0,10495.0,6351.0,2331.0,939.6,45013.0,120495.0,35966.0,101951.0,18419.0,1439.0,7421.0,7826.0,11696.0
International Business Machines 2017-4,2017,4,19153.0,10353.0,5735.0,2726.0,933.2,44742.0,121636.0,31697.0,101879.0,19627.0,2231.0,10991.0,7826.0,10915.0
International Business Machines 2018-2,2018,2,19072.0,10825.0,7111.0,1679.0,925.4,49122.0,125285.0,35733.0,106995.0,18166.0,774.0,4602.0,12234.0,12262.0
International Business Machines 2018-3,2018,3,20003.0,10804.0,6423.0,2404.0,919.4,46795.0,121622.0,35442.0,102974.0,18520.0,1547.0,6896.0,12234.0,10960.0
International Business Machines 2018-4,2018,4,18756.0,9953.0,5807.0,2694.0,915.2,48257.0,121990.0,36822.0,102071.0,19784.0,2337.0,11128.0,12234.0,11731.0
