Year,Quarter,Net income,Depreciation & Amortization,Cash generated by operating activities,Cash at end of period,Revenue,Cost of revenue,Earnings per share,Current assets,Total assets,Current liabilities,Shareholders' equity,Stock price
2008,2,143,65,-645,1496,4135,3179,0.34,3965,5883,3551,1470,76.7
2008,3,158,70,347,1548,4063,3096,0.37,4236,6322,3216,2230,73.62
2008,4,118,76,424,1650,4264,3265,0.27,4430,6566,3144,2527,69.58
2009,2,177,87,-585,1701,4889,3741,0.41,4775,6980,3410,2918,73.5
2009,3,142,84,468,1936,4651,3518,0.32,5304,7675,3636,3256,81.6
2009,4,199,96,799,2514,5449,4176,0.45,6369,8972,4537,3585,91.04
2010,2,299,119,-1098,1844,7131,5501,0.66,7964,12042,5193,5618,131.81
2010,3,207,129,250,1629,6566,4957,0.45,8118,12397,5250,5857,110.96
2010,4,231,150,855,1539,7560,5786,0.51,9559,14162,6375,6397,153.71
2011,2,201,202,-1586,2641,9857,7608,0.44,11288,16882,7730,7347,180.13
2011,3,191,244,423,2047,9913,7525,0.41,11279,17941,8045,7765,209.49
2011,4,63,278,797,2823,10876,8325,0.14,11904,19054,8978,7766,211.98
2012,2,130,457,-2438,2288,13185,10027,0.28,12154,20339,10488,7271,198.05
2012,3,7,485,594,2335,12834,9488,0.01,11793,21022,10964,7505,229.32
2012,4,-274,554,943,2980,13806,10319,-0.6,13118,22834,12605,7553,252.01
2013,2,82,700,-2372,4481,16070,11801,0.18,16313,28377,14332,8432,261.61
2013,3,-7,756,880,3704,15704,11209,-0.02,16285,29623,14735,8733,282.1
2013,4,-41,834,1388,3872,17092,12366,-0.09,17334,31861,16135,9087,320.95
2014,2,108,1010,-2502,5074,19741,14055,0.23,19327,36364,18357,10328,342.99
2014,3,-126,1109,862,5057,19340,13399,-0.27,18755,37898,18751,10602,332.39
2014,4,-437,1247,1766,5258,20579,14627,-0.95,18572,40419,20842,10336,317.46
2015,2,-57,1426,-1499,10237,22717,15395,-0.12,25922,50075,23177,10873,370.255
2015,3,92,1504,1997,10269,23185,15160,0.19,26391,52440,23912,11768,437.39
2015,4,79,1599,2610,10709,25358,16755,0.17,28849,56230,26657,12430,520.72
2016,2,513,1827,-2160,12470,29128,18866,1.07,30513,61128,28187,14756,598.5
2016,3,857,1909,3465,12521,30404,19180,1.78,32220,65076,29587,16538,725.68
2016,4,252,2084,4486,13656,32714,21260,0.52,35609,70897,33498,17782,836.74
2017,2,724,2435,-1590,15440,35714,22440,1.48,39460,80969,37399,21674,891.51
2017,3,197,2633,3829,13203,37955,23451,0.4,41007,87781,40520,23214,953.66
2017,4,256,2912,3851,12767,43744,27549,0.52,48578,115267,47072,24658,959.19
2018,2,1629,3671,-1791,17616,51042,30735,3.27,50829,126362,48045,31463,1371.99
2018,3,2534,3630,7449,20536,52886,30632,5.07,54481,134100,50801,34995,1713.78
2018,4,2883,3778,8588,21032,56576,33003,5.75,59885,143695,55324,39125,2004.36